Algorithm,Description,tn
kd_tree,KNN con 3 vecinos peso: uniform metrica: minkowski,8
kd_tree,KNN con 4 vecinos peso: uniform metrica: minkowski,9
kd_tree,KNN con 5 vecinos peso: uniform metrica: minkowski,9
kd_tree,KNN con 6 vecinos peso: uniform metrica: minkowski,9
kd_tree,KNN con 7 vecinos peso: uniform metrica: minkowski,9
kd_tree,KNN con 8 vecinos peso: uniform metrica: minkowski,9
kd_tree,KNN con 1 vecinos peso: uniform metrica: euclidean,6
kd_tree,KNN con 2 vecinos peso: uniform metrica: euclidean,9
kd_tree,KNN con 3 vecinos peso: uniform metrica: euclidean,8
kd_tree,KNN con 4 vecinos peso: uniform metrica: euclidean,9
kd_tree,KNN con 5 vecinos peso: uniform metrica: euclidean,9
kd_tree,KNN con 6 vecinos peso: uniform metrica: euclidean,9
kd_tree,KNN con 7 vecinos peso: uniform metrica: euclidean,9
kd_tree,KNN con 8 vecinos peso: uniform metrica: euclidean,9
kd_tree,KNN con 1 vecinos peso: distance metrica: minkowski,6
kd_tree,KNN con 2 vecinos peso: distance metrica: minkowski,6
kd_tree,KNN con 3 vecinos peso: distance metrica: minkowski,8
kd_tree,KNN con 4 vecinos peso: distance metrica: minkowski,8
kd_tree,KNN con 5 vecinos peso: distance metrica: minkowski,9
kd_tree,KNN con 6 vecinos peso: distance metrica: minkowski,9
kd_tree,KNN con 7 vecinos peso: distance metrica: minkowski,9
kd_tree,KNN con 8 vecinos peso: distance metrica: minkowski,9
kd_tree,KNN con 1 vecinos peso: distance metrica: euclidean,6
kd_tree,KNN con 2 vecinos peso: distance metrica: euclidean,6
kd_tree,KNN con 3 vecinos peso: distance metrica: euclidean,8
kd_tree,KNN con 4 vecinos peso: distance metrica: euclidean,8
kd_tree,KNN con 5 vecinos peso: distance metrica: euclidean,9
kd_tree,KNN con 6 vecinos peso: distance metrica: euclidean,9
kd_tree,KNN con 7 vecinos peso: distance metrica: euclidean,9
kd_tree,KNN con 8 vecinos peso: distance metrica: euclidean,9
brute,KNN con 1 vecinos peso: uniform metrica: minkowski,6
brute,KNN con 2 vecinos peso: uniform metrica: minkowski,9
brute,KNN con 3 vecinos peso: uniform metrica: minkowski,8
brute,KNN con 4 vecinos peso: uniform metrica: minkowski,9
brute,KNN con 5 vecinos peso: uniform metrica: minkowski,9
brute,KNN con 6 vecinos peso: uniform metrica: minkowski,9
brute,KNN con 7 vecinos peso: uniform metrica: minkowski,9
brute,KNN con 8 vecinos peso: uniform metrica: minkowski,9
brute,KNN con 1 vecinos peso: uniform metrica: euclidean,6
brute,KNN con 2 vecinos peso: uniform metrica: euclidean,9
brute,KNN con 3 vecinos peso: uniform metrica: euclidean,8
brute,KNN con 4 vecinos peso: uniform metrica: euclidean,9
brute,KNN con 5 vecinos peso: uniform metrica: euclidean,9
brute,KNN con 6 vecinos peso: uniform metrica: euclidean,9
brute,KNN con 7 vecinos peso: uniform metrica: euclidean,9
brute,KNN con 8 vecinos peso: uniform metrica: euclidean,9
brute,KNN con 1 vecinos peso: distance metrica: minkowski,6
brute,KNN con 2 vecinos peso: distance metrica: minkowski,6
brute,KNN con 3 vecinos peso: distance metrica: minkowski,8
brute,KNN con 4 vecinos peso: distance metrica: minkowski,8
brute,KNN con 5 vecinos peso: distance metrica: minkowski,9
brute,KNN con 6 vecinos peso: distance metrica: minkowski,9
brute,KNN con 7 vecinos peso: distance metrica: minkowski,9
brute,KNN con 8 vecinos peso: distance metrica: minkowski,9
brute,KNN con 1 vecinos peso: distance metrica: euclidean,6
brute,KNN con 2 vecinos peso: distance metrica: euclidean,6
brute,KNN con 3 vecinos peso: distance metrica: euclidean,8
brute,KNN con 4 vecinos peso: distance metrica: euclidean,8
brute,KNN con 5 vecinos peso: distance metrica: euclidean,9
brute,KNN con 6 vecinos peso: distance metrica: euclidean,9
brute,KNN con 7 vecinos peso: distance metrica: euclidean,9
brute,KNN con 8 vecinos peso: distance metrica: euclidean,9
gini,DecisionTreeClassifier splitter:best,5
gini,DecisionTreeClassifier splitter:random,8
entropy,DecisionTreeClassifier splitter:best,5
entropy,DecisionTreeClassifier splitter:random,5
10,GradientBoostingClassifier,5
20,GradientBoostingClassifier,5
50,GradientBoostingClassifier,5
100,GradientBoostingClassifier,5
150,GradientBoostingClassifier,5
200,GradientBoostingClassifier,5
250,GradientBoostingClassifier,5
500,GradientBoostingClassifier,5
750,GradientBoostingClassifier,5
1000,GradientBoostingClassifier,5
1500,GradientBoostingClassifier,5
linear,nuSVC,0
poly,nuSVC,0
rbf,nuSVC,0
sigmoid,nuSVC,0
linear,SVC,9
poly,SVC,7
rbf,SVC,9
sigmoid,SVC,9
gini,"RandomForest, n_estimators: 10",9
gini,"RandomForest, n_estimators: 20",7
gini,"RandomForest, n_estimators: 50",8
gini,"RandomForest, n_estimators: 100",9
