algorithm,description,validation,Accuracy_Mean,Accuracy_SD,Accuracy_Var,Accuracy_MIN,Accuracy_MAX,recall_Mean,recall_SD,recall_Var,recall_MIN,recall_MAX,precision_Mean,precision_SD,precision_Var,precision_MIN,precision_MAX,tn,fp,fn,tp
SAMME,10- AdaBoostClassifier,LOU,0.6195121951219511,0.025464162216855022,0.000648423557406307,0.573170731707317,0.6585365853658537,0.1768292682926829,0.013634560838413353,0.00018590124925639502,0.14634146341463414,0.1951219512195122,0.17073170731707316,0.018892601688816665,0.0003569303985722783,0.12195121951219512,0.18292682926829268,36.9,12.1,18.3,14.7
SAMME,20- AdaBoostClassifier,LOU,0.6219512195121951,0.007712872341874103,5.94883997620465e-05,0.6097560975609756,0.6341463414634146,0.12195121951219515,2.7755575615628914e-17,7.703719777548943e-34,0.12195121951219512,0.12195121951219512,0.12195121951219515,2.7755575615628914e-17,7.703719777548943e-34,0.12195121951219512,0.12195121951219512,41.2,7.8,23.0,10.0
SAMME,50- AdaBoostClassifier,LOU,0.6060975609756097,0.013414634146341475,0.0001799524092801907,0.5853658536585366,0.6341463414634146,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,36.9,12.1,19.0,14.0
SAMME,100- AdaBoostClassifier,LOU,0.6073170731707316,0.007317073170731715,5.353955978584187e-05,0.5975609756097561,0.6219512195121951,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,36.0,13.0,19.0,14.0
SAMME,150- AdaBoostClassifier,LOU,0.6085365853658538,0.010130029101119613,0.00010261748958953024,0.5975609756097561,0.6219512195121951,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,35.6,13.4,19.0,14.0
SAMME,200- AdaBoostClassifier,LOU,0.5939024390243902,0.005588506945068102,3.123140987507441e-05,0.5853658536585366,0.5975609756097561,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,34.4,14.6,19.0,14.0
SAMME,250- AdaBoostClassifier,LOU,0.6024390243902438,0.008089328756964397,6.543723973825115e-05,0.5853658536585366,0.6097560975609756,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,0.17073170731707316,2.7755575615628914e-17,7.703719777548943e-34,0.17073170731707318,0.17073170731707318,35.2,13.8,19.0,14.0
SAMME,500- AdaBoostClassifier,LOU,0.5829268292682926,0.01063146083790409,0.00011302795954788836,0.573170731707317,0.5975609756097561,0.15853658536585363,2.7755575615628914e-17,7.703719777548943e-34,0.15853658536585366,0.15853658536585366,0.15853658536585363,2.7755575615628914e-17,7.703719777548943e-34,0.15853658536585366,0.15853658536585366,35.5,13.5,20.0,13.0
SAMME,750- AdaBoostClassifier,LOU,0.5670731707317074,0.01249628142190191,0.00015615704937537085,0.5487804878048781,0.5853658536585366,0.15853658536585363,2.7755575615628914e-17,7.703719777548943e-34,0.15853658536585366,0.15853658536585366,0.15853658536585363,2.7755575615628914e-17,7.703719777548943e-34,0.15853658536585366,0.15853658536585366,34.1,14.9,20.0,13.0
SAMME,1000- AdaBoostClassifier,LOU,0.573170731707317,0.0,0.0,0.573170731707317,0.573170731707317,0.15853658536585363,2.7755575615628914e-17,7.703719777548943e-34,0.15853658536585366,0.15853658536585366,0.15853658536585363,2.7755575615628914e-17,7.703719777548943e-34,0.15853658536585366,0.15853658536585366,34.0,15.0,20.0,13.0
SAMME,1500- AdaBoostClassifier,LOU,0.5560975609756097,0.00597436522630044,3.56930398572279e-05,0.5487804878048781,0.5609756097560976,0.15853658536585363,2.7755575615628914e-17,7.703719777548943e-34,0.15853658536585366,0.15853658536585366,0.15853658536585363,2.7755575615628914e-17,7.703719777548943e-34,0.15853658536585366,0.15853658536585366,32.5,16.5,20.0,13.0
SAMME.R,10- AdaBoostClassifier,LOU,0.5975609756097561,0.014429462885608832,0.00020820939916716273,0.573170731707317,0.6219512195121951,0.16585365853658535,0.00597436522630044,3.56930398572279e-05,0.15853658536585366,0.17073170731707318,0.1646341463414634,0.006097560975609761,3.7180249851279057e-05,0.15853658536585366,0.17073170731707318,35.6,13.4,19.5,13.5
SAMME.R,20- AdaBoostClassifier,LOU,0.6036585365853658,0.023928557158961687,0.0005725758477096966,0.5609756097560976,0.6463414634146342,0.18048780487804877,0.009125993626277903,8.32837596668649e-05,0.17073170731707318,0.1951219512195122,0.174390243902439,0.013414634146341463,0.00017995240928019035,0.15853658536585366,0.1951219512195122,34.0,15.0,18.0,15.0
SAMME.R,50- AdaBoostClassifier,LOU,0.5658536585365853,0.013579913080073187,0.00018441403926234282,0.5487804878048781,0.5853658536585366,0.17682926829268292,0.006097560975609748,3.7180249851278894e-05,0.17073170731707318,0.18292682926829268,0.18536585365853656,0.007317073170731709,5.3539559785841775e-05,0.17073170731707318,0.1951219512195122,30.2,18.8,18.4,14.6
