algoritmo,description,validation,accuracy,recall,precision,neg_log_loss,f1,ftwo_scorer
GaussianNB,Naive Bayes algoritmo,2,0.5163398692810457,0.6818181818181818,0.5902777777777778,-4.41895065028072,0.6203703703703702,0.6525157232704402
BernoulliNB,Naive Bayes algoritmo,2,0.6584967320261439,0.9545454545454546,0.65625,-0.6480741509640082,0.7777777777777777,0.875
SAMME,AdaBoostClassifier con 10 estimadores,2,0.49183006535947715,0.5909090909090909,0.5104166666666666,-0.7125920203496594,0.5250544662309368,0.5583333333333333
SAMME,AdaBoostClassifier con 20 estimadores,2,0.5196078431372549,0.6818181818181819,0.5659722222222222,-0.7105727991090147,0.6074074074074074,0.6470125786163522
SAMME,AdaBoostClassifier con 50 estimadores,2,0.5196078431372549,0.6818181818181819,0.5659722222222222,-0.7121264209786639,0.6074074074074074,0.6470125786163522
SAMME,AdaBoostClassifier con 100 estimadores,2,0.49183006535947715,0.5909090909090909,0.5104166666666666,-0.7178567192782397,0.5250544662309368,0.5583333333333333
SAMME,AdaBoostClassifier con 150 estimadores,2,0.49183006535947715,0.5909090909090909,0.5104166666666666,-0.7177818504793473,0.5250544662309368,0.5583333333333333
SAMME,AdaBoostClassifier con 200 estimadores,2,0.49183006535947715,0.5909090909090909,0.5104166666666666,-0.7155639027501463,0.5250544662309368,0.5583333333333333
SAMME,AdaBoostClassifier con 250 estimadores,2,0.5196078431372549,0.6818181818181819,0.5659722222222222,-0.7147516436518631,0.6074074074074074,0.6470125786163522
SAMME,AdaBoostClassifier con 500 estimadores,2,0.49183006535947715,0.6818181818181819,0.54375,-0.7130097806001471,0.5978835978835979,0.6435185185185185
SAMME,AdaBoostClassifier con 750 estimadores,2,0.49183006535947715,0.6818181818181819,0.54375,-0.7140122291416553,0.5504761904761906,0.5731162196679438
SAMME,AdaBoostClassifier con 1000 estimadores,2,0.43300653594771243,0.5909090909090909,0.54375,-0.7134659587329395,0.5504761904761906,0.5731162196679438
SAMME,AdaBoostClassifier con 1500 estimadores,2,0.43300653594771243,0.6818181818181819,0.54375,-0.7145091571805575,0.5978835978835979,0.6435185185185185
SAMME.R,AdaBoostClassifier con 10 estimadores,2,0.34477124183006536,0.2727272727272727,0.45238095238095233,-2.3677984215982346,0.33986928104575165,0.29607843137254897
SAMME.R,AdaBoostClassifier con 20 estimadores,2,0.43300653594771243,0.5,0.48809523809523814,-3.6730921949680564,0.4776470588235295,0.48793103448275865
SAMME.R,AdaBoostClassifier con 50 estimadores,2,0.4624183006535948,0.4545454545454546,0.5128205128205128,-4.11954350769259,0.46547314578005117,0.46363636363636374
SAMME.R,AdaBoostClassifier con 100 estimadores,2,0.43300653594771243,0.2727272727272727,0.4666666666666667,-4.37397362262445,0.5089514066496164,0.4181818181818182
SAMME.R,AdaBoostClassifier con 150 estimadores,2,0.43300653594771243,0.40909090909090906,0.5416666666666666,-4.426667481453668,0.45098039215686275,0.48793103448275865
SAMME.R,AdaBoostClassifier con 200 estimadores,2,0.49183006535947715,0.5,0.5,-4.492375707489955,0.4926470588235295,0.48793103448275865
SAMME.R,AdaBoostClassifier con 250 estimadores,2,0.4624183006535948,0.4545454545454546,0.5128205128205128,-4.499682912637482,0.502262443438914,0.523728813559322
SAMME.R,AdaBoostClassifier con 500 estimadores,2,0.5212418300653594,0.5909090909090909,0.5128205128205128,-4.5140044404295585,0.4776470588235295,0.5508196721311476
SAMME.R,AdaBoostClassifier con 750 estimadores,2,0.49183006535947715,0.5,0.48809523809523814,-4.494737559533426,0.502262443438914,0.5166666666666666
SAMME.R,AdaBoostClassifier con 1000 estimadores,2,0.43300653594771243,0.5454545454545454,0.4901960784313726,-4.503070745622289,0.48801742919389973,0.49473684210526325
SAMME.R,AdaBoostClassifier con 1500 estimadores,2,0.4624183006535948,0.5454545454545454,0.5333333333333333,-4.508887768850777,0.5407239819004525,0.4813559322033898
auto,KNN con 1 vecinos peso: uniform metrica: minkowski,2,0.7156862745098038,0.7272727272727273,0.8131868131868132,-9.819848190709902,0.7499999999999999,0.7327141382868937
auto,KNN con 2 vecinos peso: uniform metrica: minkowski,2,0.5996732026143792,0.45454545454545453,0.875,-6.1828691690404085,0.5824561403508772,0.4967948717948718
auto,KNN con 3 vecinos peso: uniform metrica: minkowski,2,0.7434640522875817,0.7727272727272727,0.8221153846153846,-3.362639856395307,0.7850877192982455,0.7751349527665317
auto,KNN con 4 vecinos peso: uniform metrica: minkowski,2,0.6879084967320261,0.6818181818181818,0.8012820512820513,-2.495039236281374,0.7107843137254901,0.6885964912280702
auto,KNN con 5 vecinos peso: uniform metrica: minkowski,2,0.6879084967320261,0.9090909090909092,0.6880952380952381,-2.519370379848228,0.783076923076923,0.8540327293980128
auto,KNN con 6 vecinos peso: uniform metrica: minkowski,2,0.6879084967320261,0.9090909090909092,0.6880952380952381,-2.5458587526207705,0.783076923076923,0.8540327293980128
auto,KNN con 7 vecinos peso: uniform metrica: minkowski,2,0.6879084967320261,1.0,0.6722222222222223,-0.6490591586775519,0.8023872679045092,0.9096500820120283
auto,KNN con 8 vecinos peso: uniform metrica: minkowski,2,0.6879084967320261,0.9545454545454546,0.6901709401709402,-0.6307166792641319,0.7959770114942528,0.8821448783248443
auto,KNN con 9 vecinos peso: uniform metrica: minkowski,2,0.6584967320261439,1.0,0.6493055555555556,-0.6092885373430401,0.7867177522349936,0.9018817204301075
auto,KNN con 1 vecinos peso: uniform metrica: euclidean,2,0.7156862745098038,0.7272727272727273,0.8131868131868132,-9.819848190709902,0.7499999999999999,0.7327141382868937
