Algorithm,Description,accuracy
ball_tree,KNN con 3 vecinos peso: distance metrica: euclidean,0.610119047619
ball_tree,KNN con 4 vecinos peso: distance metrica: euclidean,0.633928571429
ball_tree,KNN con 5 vecinos peso: distance metrica: euclidean,0.58630952381
ball_tree,KNN con 6 vecinos peso: distance metrica: euclidean,0.633928571429
ball_tree,KNN con 7 vecinos peso: distance metrica: euclidean,0.630952380952
ball_tree,KNN con 8 vecinos peso: distance metrica: euclidean,0.633928571429
ball_tree,KNN con 9 vecinos peso: distance metrica: euclidean,0.651785714286
kd_tree,KNN con 1 vecinos peso: uniform metrica: minkowski,0.58630952381
kd_tree,KNN con 2 vecinos peso: uniform metrica: minkowski,0.693452380952
kd_tree,KNN con 3 vecinos peso: uniform metrica: minkowski,0.610119047619
kd_tree,KNN con 4 vecinos peso: uniform metrica: minkowski,0.654761904762
kd_tree,KNN con 5 vecinos peso: uniform metrica: minkowski,0.58630952381
kd_tree,KNN con 6 vecinos peso: uniform metrica: minkowski,0.675595238095
kd_tree,KNN con 7 vecinos peso: uniform metrica: minkowski,0.675595238095
kd_tree,KNN con 8 vecinos peso: uniform metrica: minkowski,0.696428571429
kd_tree,KNN con 9 vecinos peso: uniform metrica: minkowski,0.696428571429
kd_tree,KNN con 1 vecinos peso: uniform metrica: euclidean,0.58630952381
kd_tree,KNN con 2 vecinos peso: uniform metrica: euclidean,0.693452380952
kd_tree,KNN con 3 vecinos peso: uniform metrica: euclidean,0.610119047619
kd_tree,KNN con 4 vecinos peso: uniform metrica: euclidean,0.654761904762
kd_tree,KNN con 5 vecinos peso: uniform metrica: euclidean,0.58630952381
kd_tree,KNN con 6 vecinos peso: uniform metrica: euclidean,0.675595238095
kd_tree,KNN con 7 vecinos peso: uniform metrica: euclidean,0.675595238095
kd_tree,KNN con 8 vecinos peso: uniform metrica: euclidean,0.696428571429
kd_tree,KNN con 9 vecinos peso: uniform metrica: euclidean,0.696428571429
kd_tree,KNN con 1 vecinos peso: distance metrica: minkowski,0.58630952381
