Algorithm,Description,tp
ball_tree,KNN con 5 vecinos peso: distance metrica: euclidean,11
ball_tree,KNN con 6 vecinos peso: distance metrica: euclidean,11
ball_tree,KNN con 7 vecinos peso: distance metrica: euclidean,13
ball_tree,KNN con 8 vecinos peso: distance metrica: euclidean,14
ball_tree,KNN con 9 vecinos peso: distance metrica: euclidean,13
kd_tree,KNN con 1 vecinos peso: uniform metrica: minkowski,10
kd_tree,KNN con 2 vecinos peso: uniform metrica: minkowski,6
kd_tree,KNN con 3 vecinos peso: uniform metrica: minkowski,12
kd_tree,KNN con 4 vecinos peso: uniform metrica: minkowski,7
kd_tree,KNN con 5 vecinos peso: uniform metrica: minkowski,12
kd_tree,KNN con 6 vecinos peso: uniform metrica: minkowski,7
kd_tree,KNN con 7 vecinos peso: uniform metrica: minkowski,14
kd_tree,KNN con 8 vecinos peso: uniform metrica: minkowski,13
kd_tree,KNN con 9 vecinos peso: uniform metrica: minkowski,14
kd_tree,KNN con 1 vecinos peso: uniform metrica: euclidean,10
kd_tree,KNN con 2 vecinos peso: uniform metrica: euclidean,6
kd_tree,KNN con 3 vecinos peso: uniform metrica: euclidean,12
kd_tree,KNN con 4 vecinos peso: uniform metrica: euclidean,7
kd_tree,KNN con 5 vecinos peso: uniform metrica: euclidean,12
kd_tree,KNN con 6 vecinos peso: uniform metrica: euclidean,7
kd_tree,KNN con 7 vecinos peso: uniform metrica: euclidean,14
kd_tree,KNN con 8 vecinos peso: uniform metrica: euclidean,13
kd_tree,KNN con 9 vecinos peso: uniform metrica: euclidean,14
kd_tree,KNN con 1 vecinos peso: distance metrica: minkowski,10
kd_tree,KNN con 2 vecinos peso: distance metrica: minkowski,10
kd_tree,KNN con 3 vecinos peso: distance metrica: minkowski,11
kd_tree,KNN con 4 vecinos peso: distance metrica: minkowski,10
kd_tree,KNN con 5 vecinos peso: distance metrica: minkowski,11
kd_tree,KNN con 6 vecinos peso: distance metrica: minkowski,11
kd_tree,KNN con 7 vecinos peso: distance metrica: minkowski,13
kd_tree,KNN con 8 vecinos peso: distance metrica: minkowski,14
kd_tree,KNN con 9 vecinos peso: distance metrica: minkowski,13
kd_tree,KNN con 1 vecinos peso: distance metrica: euclidean,10
kd_tree,KNN con 2 vecinos peso: distance metrica: euclidean,10
kd_tree,KNN con 3 vecinos peso: distance metrica: euclidean,11
kd_tree,KNN con 4 vecinos peso: distance metrica: euclidean,10
kd_tree,KNN con 5 vecinos peso: distance metrica: euclidean,11
kd_tree,KNN con 6 vecinos peso: distance metrica: euclidean,11
kd_tree,KNN con 7 vecinos peso: distance metrica: euclidean,13
kd_tree,KNN con 8 vecinos peso: distance metrica: euclidean,14
kd_tree,KNN con 9 vecinos peso: distance metrica: euclidean,13
brute,KNN con 1 vecinos peso: uniform metrica: minkowski,10
brute,KNN con 2 vecinos peso: uniform metrica: minkowski,6
brute,KNN con 3 vecinos peso: uniform metrica: minkowski,12
brute,KNN con 4 vecinos peso: uniform metrica: minkowski,7
brute,KNN con 5 vecinos peso: uniform metrica: minkowski,12
brute,KNN con 6 vecinos peso: uniform metrica: minkowski,7
brute,KNN con 7 vecinos peso: uniform metrica: minkowski,14
brute,KNN con 8 vecinos peso: uniform metrica: minkowski,13
brute,KNN con 9 vecinos peso: uniform metrica: minkowski,14
brute,KNN con 1 vecinos peso: uniform metrica: euclidean,10
brute,KNN con 2 vecinos peso: uniform metrica: euclidean,6
brute,KNN con 3 vecinos peso: uniform metrica: euclidean,12
brute,KNN con 4 vecinos peso: uniform metrica: euclidean,7
brute,KNN con 5 vecinos peso: uniform metrica: euclidean,12
brute,KNN con 6 vecinos peso: uniform metrica: euclidean,7
brute,KNN con 7 vecinos peso: uniform metrica: euclidean,14
brute,KNN con 8 vecinos peso: uniform metrica: euclidean,13
brute,KNN con 9 vecinos peso: uniform metrica: euclidean,14
brute,KNN con 1 vecinos peso: distance metrica: minkowski,10
brute,KNN con 2 vecinos peso: distance metrica: minkowski,10
brute,KNN con 3 vecinos peso: distance metrica: minkowski,11
brute,KNN con 4 vecinos peso: distance metrica: minkowski,10
brute,KNN con 5 vecinos peso: distance metrica: minkowski,11
brute,KNN con 6 vecinos peso: distance metrica: minkowski,11
brute,KNN con 7 vecinos peso: distance metrica: minkowski,13
brute,KNN con 8 vecinos peso: distance metrica: minkowski,14
brute,KNN con 9 vecinos peso: distance metrica: minkowski,13
brute,KNN con 1 vecinos peso: distance metrica: euclidean,10
brute,KNN con 2 vecinos peso: distance metrica: euclidean,10
brute,KNN con 3 vecinos peso: distance metrica: euclidean,11
brute,KNN con 4 vecinos peso: distance metrica: euclidean,10
brute,KNN con 5 vecinos peso: distance metrica: euclidean,11
brute,KNN con 6 vecinos peso: distance metrica: euclidean,11
brute,KNN con 7 vecinos peso: distance metrica: euclidean,13
brute,KNN con 8 vecinos peso: distance metrica: euclidean,14
brute,KNN con 9 vecinos peso: distance metrica: euclidean,13
gini,DecisionTreeClassifier splitter:best,5
