algorithm,description,validation,Accuracy_Mean,Accuracy_SD,Accuracy_Var,Accuracy_MIN,Accuracy_MAX,recall_Mean,recall_SD,recall_Var,recall_MIN,recall_MAX,precision_Mean,precision_SD,precision_Var,precision_MIN,precision_MAX,tn,fp,fn,tp
SAMME,10- AdaBoostClassifier,LOU,0.3181818181818182,0.06098367211363063,0.00371900826446281,0.2727272727272727,0.45454545454545453,0.28181818181818186,0.04895604370122276,0.0023966942148760328,0.18181818181818182,0.36363636363636365,0.23636363636363633,0.04453617714151231,0.001983471074380164,0.18181818181818182,0.2727272727272727,1.3,3.7,3.5,2.5
SAMME,20- AdaBoostClassifier,LOU,0.21818181818181817,0.06030226891555273,0.003636363636363637,0.18181818181818182,0.36363636363636365,0.22727272727272724,0.04545454545454544,0.0020661157024793376,0.18181818181818182,0.2727272727272727,0.24545454545454543,0.05821022034029862,0.003388429752066115,0.18181818181818182,0.36363636363636365,0.1,4.9,3.8,2.2
SAMME,50- AdaBoostClassifier,LOU,0.27272727272727265,5.551115123125783e-17,3.0814879110195774e-33,0.2727272727272727,0.2727272727272727,0.18181818181818185,2.7755575615628914e-17,7.703719777548943e-34,0.18181818181818182,0.18181818181818182,0.18181818181818185,2.7755575615628914e-17,7.703719777548943e-34,0.18181818181818182,0.18181818181818182,1.1,3.9,4.0,2.0
SAMME,100- AdaBoostClassifier,LOU,0.2909090909090909,0.036363636363636376,0.0013223140495867778,0.2727272727272727,0.36363636363636365,0.18181818181818185,2.7755575615628914e-17,7.703719777548943e-34,0.18181818181818182,0.18181818181818182,0.2,0.03636363636363635,0.0013223140495867759,0.18181818181818182,0.2727272727272727,1.0,4.0,4.0,2.0
SAMME,150- AdaBoostClassifier,LOU,0.3181818181818181,0.04545454545454547,0.00206611570247934,0.2727272727272727,0.36363636363636365,0.20909090909090908,0.04165977904505308,0.0017355371900826435,0.18181818181818182,0.2727272727272727,0.22727272727272724,0.04545454545454544,0.0020661157024793376,0.18181818181818182,0.2727272727272727,1.0,4.0,3.4,2.6
SAMME,200- AdaBoostClassifier,LOU,0.309090909090909,0.04453617714151235,0.0019834710743801666,0.2727272727272727,0.36363636363636365,0.21818181818181817,0.04453617714151232,0.0019834710743801645,0.18181818181818182,0.2727272727272727,0.23636363636363633,0.04453617714151231,0.001983471074380164,0.18181818181818182,0.2727272727272727,1.0,4.0,3.5,2.5
SAMME,250- AdaBoostClassifier,LOU,0.32727272727272727,0.04453617714151235,0.0019834710743801666,0.2727272727272727,0.36363636363636365,0.20909090909090908,0.04165977904505308,0.0017355371900826435,0.18181818181818182,0.2727272727272727,0.22727272727272724,0.04545454545454544,0.0020661157024793376,0.18181818181818182,0.2727272727272727,1.0,4.0,3.2,2.8
SAMME,500- AdaBoostClassifier,LOU,0.33636363636363636,0.0416597790450531,0.0017355371900826457,0.2727272727272727,0.36363636363636365,0.2545454545454545,0.03636363636363635,0.0013223140495867759,0.18181818181818182,0.2727272727272727,0.23636363636363633,0.04453617714151231,0.001983471074380164,0.18181818181818182,0.2727272727272727,1.0,4.0,3.5,2.5
SAMME,750- AdaBoostClassifier,LOU,0.33636363636363636,0.0416597790450531,0.0017355371900826453,0.2727272727272727,0.36363636363636365,0.22727272727272724,0.04545454545454544,0.0020661157024793376,0.18181818181818182,0.2727272727272727,0.23636363636363633,0.04453617714151231,0.001983471074380164,0.18181818181818182,0.2727272727272727,1.0,4.0,3.6,2.4
SAMME,1000- AdaBoostClassifier,LOU,0.3363636363636364,0.041659779045053115,0.0017355371900826463,0.2727272727272727,0.36363636363636365,0.23636363636363633,0.04453617714151231,0.001983471074380164,0.18181818181818182,0.2727272727272727,0.22727272727272724,0.04545454545454544,0.0020661157024793376,0.18181818181818182,0.2727272727272727,1.1,3.9,3.7,2.3
SAMME,1500- AdaBoostClassifier,LOU,0.3363636363636363,0.0416597790450531,0.0017355371900826457,0.2727272727272727,0.36363636363636365,0.2,0.03636363636363635,0.0013223140495867759,0.18181818181818182,0.2727272727272727,0.22727272727272724,0.04545454545454544,0.0020661157024793376,0.18181818181818182,0.2727272727272727,1.0,4.0,3.1,2.9
SAMME.R,10- AdaBoostClassifier,LOU,0.36363636363636365,0.0574959574576069,0.003305785123966942,0.2727272727272727,0.45454545454545453,0.26363636363636356,0.027272727272727264,0.0007438016528925616,0.18181818181818182,0.2727272727272727,0.24545454545454543,0.04165977904505307,0.0017355371900826433,0.18181818181818182,0.2727272727272727,1.3,3.7,3.0,3.0
SAMME.R,20- AdaBoostClassifier,LOU,0.34545454545454546,0.05454545454545456,0.0029752066115702495,0.2727272727272727,0.45454545454545453,0.20909090909090908,0.04165977904505308,0.0017355371900826435,0.18181818181818182,0.2727272727272727,0.23636363636363633,0.04453617714151231,0.001983471074380164,0.18181818181818182,0.2727272727272727,1.0,4.0,3.6,2.4
SAMME.R,50- AdaBoostClassifier,LOU,0.3545454545454546,0.04895604370122277,0.0023966942148760336,0.2727272727272727,0.45454545454545453,0.19090909090909094,0.027272727272727264,0.0007438016528925615,0.18181818181818182,0.2727272727272727,0.20909090909090908,0.04165977904505308,0.001735537190082644,0.18181818181818182,0.2727272727272727,1.8,3.2,3.8,2.2
SAMME.R,100- AdaBoostClassifier,LOU,0.3636363636363637,5.551115123125783e-17,3.0814879110195774e-33,0.36363636363636365,0.36363636363636365,0.18181818181818185,2.7755575615628914e-17,7.703719777548943e-34,0.18181818181818182,0.18181818181818182,0.18181818181818185,2.7755575615628914e-17,7.703719777548943e-34,0.18181818181818182,0.18181818181818182,2.0,3.0,3.9,2.1
